Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"D1_L6","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D1_L7","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D1_L8","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D2","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D3","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D4","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D5","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D6","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D7","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC20_L1","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L2","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L3","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L4","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L5","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L6","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L7","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC20_L8","LIC016","COM","","","","50","-20","27","","","","","","",""
"IC1","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC10_L1","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L2","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L3","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L4","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L5","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L6","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L7","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC10_L8","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC13","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC14","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC19","LIC524","","","","","","","","","","","","","",""
"IC2","LIC543","","","","","","","","","","","","","",""
"IC3","LIC543","","","","","","","","","","","","","",""
"IC4","LIC543","","","","","","","","","","","","","",""
"IC5","LIC543","","","","","","","","","","","","","",""
"IC6","LIC543","","","","","","","","","","","","","",""
"IC7","LIC543","","","","","","","","","","","","","",""
"IC8","LIC543","","","","","","","","","","","","","",""
"IC9","LIC543","","","","","","","","","","","","","",""
"IC15","LIC544","","","","","","","","","","","","","",""
"IC17","LIC544","","","","","","","","","","","","","",""
"IC16","LIC545","","","","","","","","","","","","","",""
"IC11_M1","LIC546","","","","","","","","","","","","","",""
"IC11_M2","LIC546","","","","","","","","","","","","","",""
"IC11_M3","LIC546","","","","","","","","","","","","","",""
"IC11_M4","LIC546","","","","","","","","","","","","","",""
"IC12_M1","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC12_M2","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC12_M3","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC12_M4","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC18","LIC571","","","","","","","","","","","","","",""
"R1","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L1","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L2","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L3","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L4","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L5","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L6","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L7","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17_L8","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R10","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R11","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R15","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R16","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_M1","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_M2","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_M3","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_M4","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R13_M1","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R13_M2","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R13_M3","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R13_M4","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"RLY1_L1","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L3","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L4","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L5","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L6","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L7","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1_L8","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY3","LSW020","COM","","","","50","-20","27","","","","","","",""
