Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"L2","LIN031","COM","","","","50","-20","27","","","","","","",""
"L4","LIN031","COM","","","","50","-20","27","","","","","","",""
"L3","LIN032","COM","","","","50","-20","27","","","","","","",""
"PW2","LPW030","","","","","","","","","","","","","",""
"R10","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R39_OGA1","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R39_OGA2","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R39_OGA3","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R41","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R42","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R43","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R46","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE027","COM","CAN PHY 1 ILIM","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R63_OGB1","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R63_OGB2","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R63_OGB3","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R66","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R67","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R69","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R70","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R71","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R73","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R74","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R75","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R76","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R29","LRE028","COM","ACC BUS IN FILTER","0","0","50","-20","27","17","0","14","","","",""
"R1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R24","LRE030","COM","RESET PULLUP","0","0","50","-20","27","3.3","0","3.3","","","",""
"R25","LRE030","COM","PMIC IGN PULLUP","0","0","50","-20","27","3.3","0","3.3","","","",""
"R40","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R55","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R58","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R59","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R60","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R61","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R64","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R65","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R78","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R79_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R80_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R81_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R82_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R87_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R88_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R89","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R13","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R15","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R44","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R56","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R11","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE077","COM","","0","0","50","-20","27","0","0","0","","","",""
"R51","LRE093","COM","","0","0","50","-20","27","0","0","0","","","",""
"R52","LRE093","COM","","0","0","50","-20","27","0","0","0","","","",""
"R53","LRE093","COM","","0","0","50","-20","27","0","0","0","","","",""
"R54","LRE093","COM","","0","0","50","-20","27","0","0","0","","","",""
"R23","LRE120","COM","PMIC COMP RESISTOR","0","0","50","-20","27","0","0","0","","","",""
