Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"IC5","LIC594","COM","","","","50","-20","27","","","","","","",""
"IC19","LIC601","COM","","","","50","-20","27","0","0","0","","","",""
"IC22","LIC601","COM","","","","50","-20","27","0","0","0","","","",""
"PW1","LPW025","","","","","","","","","","","","","",""
"R27","LRE013","COM","","0","0","50","-20","27","0","0","0","","","",""
"R32","LRE013","COM","","0","0","50","-20","27","0","0","0","","","",""
"R10","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R11","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R21","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R25","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R15","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R16","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE037","COM","","0","0","50","-20","27","0","0","0","","","",""
"R18","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5","LRE058","COM","","0","0","50","-20","27","0","0","0","","","",""
"R13","LRE077","COM","","0","0","50","-20","27","0","0","0","","","",""
"R26","LRE106","COM","","0","0","50","-20","27","0","0","0","","","",""
"R31","LRE106","COM","","0","0","50","-20","27","0","0","0","","","",""
"R24","LRE123","COM","","0","0","50","-20","27","0","0","0","","","",""
"R30","LRE123","COM","","0","0","50","-20","27","0","0","0","","","",""
"R28","LRE133","COM","","0","0","50","-20","27","0","0","0","","","",""
"R33","LRE133","COM","","0","0","50","-20","27","0","0","0","","","",""
"R23","LRE194","COM","","0.5","0","155","-55","27","200","0","200","","","",""
"R29","LRE194","COM","","0.5","0","155","-55","27","200","0","200","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY1","LSW043","COM","","","","50","-20","27","","","","","","",""
