Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"R23","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R24","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R27","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R28","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R30","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R31","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R34","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R35","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R37","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R38","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R41","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R42","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R44","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R45","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R48","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R49","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R51","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R52","LRE202","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE212","COM","","0","0","50","-20","27","0","0","0","","","",""
"RT1","LRE213","COM","","0.01","0","50","-20","27","0","0","0","","","",""
