Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C21_BL1","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C21_BL2","LCA019","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C16","LCA093","COM","","","","50","-20","27","0","0","0","","","",""
"C26","LCA093","COM","","","","50","-20","27","0","0","0","","","",""
"C23_BL1","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C23_BL2","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH1","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH2","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH3","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH4","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH5","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH6","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH7","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"C50_TH8","LCA098","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN10","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN11","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN12_L1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN12_L2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN12_L3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN13","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN14","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN16","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN17","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN18","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN19","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN3","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN4","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN5","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN6","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"CN7","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0",""
"D1","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D2","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D3","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"D4","LIC006","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC14","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC15","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC17","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC18","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC19","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC5","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC2","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC6","LIC292","COM","","0.15","0","50","-20","27","18","0","13","","","","0.1"
"IC24","LIC336","COM","","","","50","-20","27","0","0","0","","","",""
"IC7","LIC336","COM","","","","50","-20","27","0","0","0","","","",""
"IC8","LIC336","COM","","","","50","-20","27","0","0","0","","","",""
"IC13","LIC525","COM","","","","","","","","","","","","",""
"IC16_L1","LIC542","","","","","","","","","","","","","",""
"IC16_L2","LIC542","","","","","","","","","","","","","",""
"IC16_L3","LIC542","","","","","","","","","","","","","",""
"IC11_BL1","LIC546","","","","","","","","","","","","","",""
"IC11_BL2","LIC546","","","","","","","","","","","","","",""
"IC12_BL1","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC12_BL2","LIC547","COM","","","","50","-20","27","0","0","0","0","0","0",""
"IC1","LIC548","","","","","","","","","","","","","",""
"IC21","LIC548","","","","","","","","","","","","","",""
"IC22","LIC548","","","","","","","","","","","","","",""
"IC20_TH1","LIC549","","","","","","","","","","","","","",""
"IC20_TH2","LIC549","","","","","","","","","","","","","",""
"IC20_TH3","LIC549","","","","","","","","","","","","","",""
"IC20_TH4","LIC549","","","","","","","","","","","","","",""
"IC20_TH5","LIC549","","","","","","","","","","","","","",""
"IC20_TH6","LIC549","","","","","","","","","","","","","",""
"IC20_TH7","LIC549","","","","","","","","","","","","","",""
"IC20_TH8","LIC549","","","","","","","","","","","","","",""
"IC10","LIC550","","","","","","","","","","","","","",""
"IC9","LIC550","","","","","","","","","","","","","",""
"IC3","LIC571","","","","","","","","","","","","","",""
"IC4","LIC571","","","","","","","","","","","","","",""
"IC23","LIC580","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"IC25","LIC580","COM","","","","50","-20","27","3.3","0","3.3","","","",""
"R1","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R2","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R3","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R4","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R6","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R7","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R8","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R9","LRE026","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12_L1","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12_L2","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12_L3","LRE027","COM","","0","0","50","-20","27","0","0","0","","","",""
"R10","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R11","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH1","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH2","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH3","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH4","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH5","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
