Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"C1","LCA002","COM","","50","-20","27","0","0","0","","",""
"C3","LCA002","COM","","50","-20","27","0","0","0","","",""
"C2","LCA016","COM","","50","-20","27","3.3","0","3.3","","",""
"CN1","LCN305","COM","","50","-20","27","16","0","12","0","0","0"
"SEN1","LSEN031","","","","","","","","","","",""
